Contiguous U.S.,, Average Temperature, January-December
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,,Value,
189512,1895,50.34,10.18888889
189612,1896,51.99,11.10555556
189712,1897,51.56,10.86666667
189812,1898,51.43,10.79444444
189912,1899,51.01,10.56111111
190012,1900,52.77,11.53888889
190112,1901,51.87,11.03888889
190212,1902,51.59,10.88333333
190312,1903,50.62,10.34444444
190412,1904,51.16,10.64444444
190512,1905,51,10.55555556
190612,1906,51.73,10.96111111
190712,1907,51.48,10.82222222
190812,1908,52.08,11.15555556
190912,1909,51.43,10.79444444
191012,1910,52.42,11.34444444
191112,1911,52.03,11.12777778
191212,1912,50.23,10.12777778
191312,1913,51.54,10.85555556
191412,1914,51.84,11.02222222
191512,1915,51.45,10.80555556
191612,1916,50.85,10.47222222
191712,1917,50.06,10.03333333
191812,1918,51.87,11.03888889
191912,1919,51.55,10.86111111
192012,1920,51.07,10.59444444
192112,1921,53.8,12.11111111
192212,1922,52.03,11.12777778
192312,1923,51.64,10.91111111
192412,1924,50.59,10.32777778
192512,1925,52.52,11.4
192612,1926,51.95,11.08333333
192712,1927,52.15,11.19444444
192812,1928,51.92,11.06666667
192912,1929,50.85,10.47222222
193012,1930,51.98,11.1
193112,1931,53.54,11.96666667
193212,1932,51.73,10.96111111
193312,1933,52.99,11.66111111
193412,1934,54.1,12.27777778
193512,1935,51.9,11.05555556
193612,1936,52.15,11.19444444
193712,1937,51.55,10.86111111
193812,1938,53.18,11.76666667
193912,1939,53.26,11.81111111
194012,1940,51.89,11.05
194112,1941,52.66,11.47777778
194212,1942,51.84,11.02222222
194312,1943,52.07,11.15
194412,1944,51.83,11.01666667
194512,1945,51.75,10.97222222
194612,1946,52.95,11.63888889
194712,1947,51.92,11.06666667
194812,1948,51.61,10.89444444
194912,1949,52.02,11.12222222
195012,1950,51.39,10.77222222
195112,1951,51.12,10.62222222
195212,1952,52.27,11.26111111
195312,1953,53.37,11.87222222
195412,1954,53.33,11.85
195512,1955,51.69,10.93888889
195612,1956,52.34,11.3
195712,1957,52.04,11.13333333
195812,1958,51.93,11.07222222
195912,1959,52.1,11.16666667
196012,1960,51.44,10.8
196112,1961,51.87,11.03888889
196212,1962,51.9,11.05555556
196312,1963,52.26,11.25555556
196412,1964,51.67,10.92777778
196512,1965,51.69,10.93888889
196612,1966,51.49,10.82777778
196712,1967,51.76,10.97777778
196812,1968,51.32,10.73333333
196912,1969,51.5,10.83333333
197012,1970,51.61,10.89444444
197112,1971,51.66,10.92222222
197212,1972,51.37,10.76111111
197312,1973,52.29,11.27222222
197412,1974,52.26,11.25555556
197512,1975,51.5,10.83333333
197612,1976,51.47,10.81666667
197712,1977,52.55,11.41666667
197812,1978,51.04,10.57777778
197912,1979,50.88,10.48888889
198012,1980,52.39,11.32777778
198112,1981,53.12,11.73333333
198212,1982,51.34,10.74444444
198312,1983,51.88,11.04444444
198412,1984,51.97,11.09444444
198512,1985,51.3,10.72222222
198612,1986,53.32,11.84444444
198712,1987,53.33,11.85
198812,1988,52.63,11.46111111
198912,1989,51.84,11.02222222
199012,1990,53.51,11.95
199112,1991,53.16,11.75555556
199212,1992,52.6,11.44444444
199312,1993,51.26,10.7
199412,1994,52.87,11.59444444
199512,1995,52.65,11.47222222
199612,1996,51.88,11.04444444
199712,1997,52.2,11.22222222
199812,1998,54.23,12.35
199912,1999,53.88,12.15555556
200012,2000,53.27,11.81666667
200112,2001,53.69,12.05
200212,2002,53.21,11.78333333
200312,2003,53.26,11.81111111
200412,2004,53.1,11.72222222
200512,2005,53.64,12.02222222
200612,2006,54.25,12.36111111
200712,2007,53.65,12.02777778
200812,2008,52.29,11.27222222
200912,2009,52.39,11.32777778
201012,2010,52.98,11.65555556
201112,2011,53.18,11.76666667
201212,2012,55.28,12.93333333
201312,2013,52.43,11.35
201412,2014,52.54,11.41111111
201512,2015,54.4,12.44444444
201612,2016,54.92,12.73333333
201712,2017,54.55,12.52777778
201812,2018,53.52,11.95555556
201912,2019,52.68,11.48888889
202012,2020,54.37,12.42777778
